customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.daily,account.Charges.Total
0023-HGHWL,1,Male,1,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.1,0.8366666666666667,25.1
0023-UYUPN,0,Female,1,1,0,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,0.84,1306.3
0023-XUOPT,1,Female,0,1,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.1,3.1366666666666663,1215.6
0027-KWYKW,0,Female,0,1,1,23,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,2.7916666666666665,1849.95
0030-FNXPP,0,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,0.6616666666666667,57.2
0031-PVLZI,1,Female,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,0.6783333333333333,76.35
0032-PGELS,1,Female,0,1,1,1,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.5,1.0166666666666666,30.5
0036-IHMOT,0,Female,0,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),103.7,3.4566666666666666,5656.75
0040-HALCW,0,Male,0,1,1,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,0.6799999999999999,1090.6
0042-JVWOJ,0,Male,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,0.6533333333333334,471.85
0042-RLHYP,0,Female,0,1,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,0.6566666666666666,1396.9
0047-ZHDTW,0,Female,0,0,0,11,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.0,2.6333333333333333,929.3
0048-LUMLS,0,Male,0,1,1,37,1,No,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,3.04,3247.55
0048-PIHNL,0,Female,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,0.6816666666666666,900.9
0052-DCKON,0,Male,0,1,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),115.8,3.86,7942.15
0052-YNYOT,0,Female,0,0,0,67,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,0.685,1343.4
0056-EPFBG,0,Male,0,1,1,20,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),39.4,1.3133333333333332,825.4
0057-QBUQH,0,Female,0,0,1,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,0.8366666666666667,1070.15
0058-EVZWM,0,Female,0,1,0,55,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,2.993333333333333,4959.6
0060-FUALY,0,Female,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.75,3.158333333333333,5597.65
0064-SUDOG,0,Female,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,0.6766666666666666,224.5
0064-YIJGF,0,Male,0,1,1,27,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,2.525,1929.0
0067-DKWBL,1,Male,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.25,1.6416666666666666,91.1
0068-FIGTF,0,Female,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,78.2,2.606666666666667,2078.95
0071-NDAFP,0,Male,0,1,1,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,0.85,630.6
0074-HDKDG,0,Male,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),61.6,2.0533333333333332,1611.0
0076-LVEPS,0,Male,0,0,1,29,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,45.0,1.5,1242.45
0078-XZMHT,0,Male,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,2.8383333333333334,6316.2
0080-EMYVY,0,Female,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),51.45,1.715,727.85
0080-OROZO,0,Female,0,0,0,35,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,99.25,3.308333333333333,3532.0
0082-LDZUE,0,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.3,1.4766666666666666,44.3
0082-OQIQY,0,Male,0,0,0,29,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,3.14,2607.6
0083-PIVIK,0,Male,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,81.25,2.7083333333333335,5567.55
0089-IIQKO,0,Female,0,1,1,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,3.3316666666666666,3767.4
0093-EXYQL,0,Female,1,0,0,40,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,3.0516666666666667,3673.6
0093-XWZFY,1,Male,0,0,0,40,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,3.4833333333333334,4036.85
0094-OIFMO,1,Female,1,0,0,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,3.1666666666666665,1120.3
0096-BXERS,0,Female,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,1.6783333333333335,314.55
0096-FCPUF,0,Male,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,64.5,2.15,1888.45
0098-BOWSO,0,Male,0,0,0,27,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,0.6466666666666666,529.8
0100-DUVFC,0,Male,1,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,104.8,3.493333333333333,7308.95
0103-CSITQ,0,Female,0,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.4,3.646666666666667,6252.7
0104-PPXDV,0,Male,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,One year,0,Credit card (automatic),50.3,1.6766666666666665,2878.55
0106-GHRQR,0,Male,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,2.3800000000000003,1212.1
0106-UGRDO,0,Female,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,3.8666666666666667,8182.85
0107-WESLM,1,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,0.6616666666666667,19.85
0107-YHINA,1,Male,0,0,1,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.75,3.325,99.75
0111-KLBQG,0,Male,1,1,1,32,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.95,3.131666666666667,2861.45
0112-QAWRZ,0,Male,0,1,1,16,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.8,3.0266666666666664,1442.2
0112-QWPNC,1,Male,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,84.35,2.8116666666666665,4059.35
0114-IGABW,0,Female,0,1,0,71,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,1.9416666666666667,4145.9
0114-PEGZZ,0,Female,0,0,0,33,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,107.55,3.585,3645.5
0114-RSRRW,0,Female,0,1,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,0.6649999999999999,187.75
0115-TFERT,1,Male,0,1,0,21,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.2,3.7066666666666666,2317.1
0117-LFRMW,1,Male,0,1,1,37,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),40.2,1.34,1448.8
0118-JPNOY,0,Female,1,0,0,26,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.8,2.86,2193.65
0120-YZLQA,0,Male,0,0,0,71,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.9,0.6633333333333333,1355.1
0121-SNYRK,0,Male,0,0,0,50,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,35.4,1.18,1748.9
0122-OAHPZ,1,Female,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,2.4616666666666664,511.25
0123-CRBRT,0,Female,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,88.1,2.9366666666666665,5526.75
0125-LZQXK,1,Male,0,0,0,15,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.35,3.378333333333333,1553.95
0128-MKWSG,0,Female,0,0,1,26,0,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Mailed check,45.8,1.5266666666666666,1147.0
0129-KPTWJ,0,Male,0,1,0,72,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,94.65,3.1550000000000002,6747.35
0129-QMPDR,0,Male,0,1,1,44,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,0.6833333333333333,865.05
0130-SXOUN,0,Male,0,0,0,66,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),89.4,2.98,5976.9
0133-BMFZO,1,Female,0,0,0,2,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,86.25,2.875,181.65
0134-XWXCE,0,Female,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),74.85,2.4949999999999997,3268.05
0135-NMXAP,1,Female,0,0,0,12,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.75,2.9916666666666667,1052.4
0136-IFMYD,0,Male,1,1,0,69,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.95,3.665,7634.25
0137-OCGAB,1,Female,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,80.2,2.6733333333333333,80.2
0137-UDEUO,1,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,0.6616666666666667,63.75
0139-IVFJG,0,Female,0,1,0,2,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,90.35,3.0116666666666663,190.5
0141-YEAYS,0,Female,1,0,0,27,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),86.45,2.881666666666667,2401.05
0142-GVYSN,0,Male,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,0.6766666666666666,511.25
0147-ESWWR,0,Female,1,1,0,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.25,3.375,3949.15
0148-DCDOS,1,Male,0,0,0,25,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),94.7,3.1566666666666667,2362.1
0151-ONTOV,1,Female,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.9,2.3633333333333337,70.9
0154-QYHJU,0,Male,0,0,0,29,1,No,DSL,Yes,Yes,No,Yes,No,No,One year,1,Electronic check,58.75,1.9583333333333333,1696.2
0156-FVPTA,1,Male,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,54.2,1.8066666666666669,1152.7
0162-RZGMZ,0,Female,1,0,0,5,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.9,1.9966666666666666,287.85
0164-APGRB,0,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.9,3.83,8496.7
0164-XAIRP,0,Female,0,0,0,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,0.6516666666666667,470.2
0168-XZKBB,0,Female,0,1,0,19,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,86.85,2.895,1564.4
0174-QRVVY,0,Male,0,1,1,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,0.8450000000000001,1847.55
0177-PXBAT,0,Male,1,1,0,33,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.9,3.6633333333333336,3694.7
0178-CIIKR,0,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,0.6649999999999999,58.0
0178-SZBHO,0,Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,87.2,2.9066666666666667,4017.45
0181-RITDD,0,Male,0,1,1,62,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,108.15,3.605,6825.65
0186-CAERR,0,Male,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),116.3,3.8766666666666665,8309.55
0187-QSXOE,0,Male,1,1,0,7,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.0,2.966666666666667,605.45
0187-WZNAB,0,Female,0,1,1,27,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,74.4,2.48,1972.35
0188-GWFLE,0,Male,0,0,0,2,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,0.6683333333333333,33.7
0191-EQUUH,0,Female,0,0,1,25,0,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),35.05,1.1683333333333332,844.45
0191-ZHSKZ,0,Male,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2.4916666666666667,2111.3
0193-ESZXP,1,Female,1,1,0,58,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),105.5,3.5166666666666666,6205.5
0195-IESCP,1,Male,0,1,0,10,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.25,2.841666666666667,855.3
0196-JTUQI,0,Female,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.2,2.506666666666667,633.85
0196-VULGZ,1,Female,1,1,0,6,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.35,2.8116666666666665,474.9
0197-PNKNK,0,Female,0,1,1,69,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,0,Bank transfer (automatic),84.45,2.815,5848.6
0201-MIBOL,0,Female,1,0,0,66,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),102.4,3.4133333333333336,6471.85
0201-OAMXR,1,Female,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.55,3.8516666666666666,8127.6
0203-HHYIJ,1,Male,0,0,0,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,0.8433333333333334,676.35
0206-OYVOC,0,Female,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,0.6416666666666667,864.2
0206-TBWLC,0,Female,0,1,0,54,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,114.65,3.8216666666666668,6049.5
0207-MDKNV,1,Female,0,0,0,15,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,105.1,3.503333333333333,1582.75
0208-BPQEJ,0,Female,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,0.6466666666666666,198.1
0212-ISBBF,0,Female,0,0,0,22,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,50.35,1.6783333333333335,1098.85
0214-JHPFW,0,Female,0,1,0,70,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),57.8,1.9266666666666665,4039.3
0215-BQKGS,0,Male,0,0,0,30,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Credit card (automatic),84.3,2.81,2438.6
0218-QNVAS,0,Male,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Bank transfer (automatic),100.55,3.3516666666666666,7113.75
0219-QAERP,0,Male,0,1,0,30,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,0.66,576.65
0219-YTZUE,1,Male,0,1,1,4,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),84.8,2.8266666666666667,371.9
0220-EBGCE,1,Male,0,0,0,2,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,85.85,2.8616666666666664,167.3
0221-NAUXK,0,Male,0,0,1,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,0.6649999999999999,219.5
0221-WMXNQ,0,Male,1,0,0,4,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,75.35,2.5116666666666663,273.4
0222-CNVPT,0,Male,1,0,0,52,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),48.8,1.6266666666666665,2555.05
0224-HJAPT,1,Male,0,0,0,5,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,47.15,1.5716666666666665,223.15
0224-NIJLP,0,Male,0,1,1,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,0.6716666666666666,165.5
0224-RLWWD,0,Female,1,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.3,1.4766666666666666,89.3
0225-ZORZP,0,Male,0,0,0,3,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,84.3,2.81,235.05
0228-MAUWC,0,Male,0,0,0,19,1,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,59.55,1.9849999999999999,1144.6
0229-LFJAF,0,Male,0,0,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),69.65,2.3216666666666668,4908.25
0230-UBYPQ,0,Male,1,1,0,63,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,0,Bank transfer (automatic),36.1,1.2033333333333334,2298.9
0230-WEQUW,0,Male,0,1,0,66,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),56.6,1.8866666666666667,3789.2
0231-LXVAP,1,Male,0,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,75.9,2.5300000000000002,75.9
0233-FTHAV,0,Female,0,0,0,60,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,1,Bank transfer (automatic),79.2,2.64,4765.0
0234-TEVTT,0,Female,0,1,1,48,0,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),45.0,1.5,2196.3
0235-KGSLC,1,Female,0,0,0,1,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),85.55,2.8516666666666666,85.55
0236-HFWSV,1,Male,0,0,0,15,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,93.35,3.1116666666666664,1444.65
0237-YFUTL,0,Female,0,1,0,50,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.65,3.6550000000000002,5405.8
0238-WHBIQ,0,Male,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),89.7,2.99,6339.3
0239-OXEXL,0,Female,0,0,0,46,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,84.25,2.808333333333333,3847.6
0244-LGNFY,0,Female,0,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),92.65,3.0883333333333334,6733.0
0247-SLUJI,0,Male,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,0.6566666666666666,19.7
0248-IPDFW,0,Female,0,0,0,1,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.1,1.6700000000000002,50.1
0248-PGHBZ,0,Female,1,0,0,67,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),92.45,3.0816666666666666,6140.85
0253-ZTEOB,0,Female,0,1,1,48,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,79.65,2.6550000000000002,3870.3
0254-FNMCI,0,Female,0,0,0,72,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.9,3.6633333333333336,7624.2
0254-KCJGT,0,Male,0,1,0,52,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),81.4,2.7133333333333334,4354.45
0254-WWRKD,0,Female,0,1,1,67,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),50.55,1.6849999999999998,3431.75
0256-LTHVJ,1,Female,0,1,1,28,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,81.05,2.7016666666666667,2227.1
0257-KXZGU,0,Female,0,1,1,32,1,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),62.45,2.0816666666666666,2045.55
